frame_id,centor_x,centor_y,width,height,area,avg,std,max_gauss,min_gauss,strong_gauss,week_gauss,complexity,num_of_magnetic_neural_lines,total_length_of_magnetic_neural_lines,complexity_of_magnetic_neural_lines
31,163,320,52,44,2288,-1.624399038,134.884563,1392.2,-1124.65,68,2220,0.27972028,13,150,0.195804196
32,176,111,41,30,1230,-14.37617886,60.68304985,297.275,-600.775,4,1226,0.31300813,13,49.5,0.204065041
32,211,318,60,47,2820,-1.061702128,115.1048989,1417.725,-1085.625,74,2746,0.295035461,17,183,0.217375887
33,239,103,25,25,625,-13.79124,45.26237882,47.3,-429,0,625,0.32,5,25,0.1696
33,244,328,25,30,750,-40.76386667,102.1561846,21.675,-1163.075,0,750,0.250666667,3,24,0.110666667
33,281,311,36,41,1476,30.99427507,105.270804,1412.325,-476.275,73,1403,0.302845528,14,104.5,0.197831978
34,207,310,29,29,841,-9.52167063,127.9170506,1196.45,-1425.6,16,825,0.322235434,4,49,0.191438763
34,316,317,72,49,3528,-1.086472506,76.32610813,902.375,-580.325,66,3462,0.286281179,34,151.5,0.191043084
35,262,309,39,35,1365,-3.567527473,93.33286757,1093.525,-1248.35,20,1345,0.312087912,10,88.5,0.206593407
35,369,316,63,41,2583,0.925803329,74.34406096,678.125,-536.35,50,2533,0.297328688,16,134.5,0.18815331
36,308,314,26,25,650,-17.68296154,85.4647455,205.05,-914.675,1,649,0.312307692,6,23,0.210769231
36,387,174,25,26,650,-15.57219231,62.51647977,50.75,-627.35,0,650,0.304615385,5,47,0.130769231
36,423,317,25,26,650,26.40969231,73.28435372,658.925,-87.375,23,627,0.312307692,6,35.5,0.167692308
37,357,316,25,25,625,-16.10424,61.37219613,157.225,-560.075,0,625,0.3232,4,25.5,0.1968
37,421,176,42,28,1176,-0.123958333,66.59700827,646.775,-664.625,16,1160,0.295068027,8,72,0.18622449
37,421,335,24,25,600,-20.61079167,54.57126691,35.775,-333.05,0,600,0.273333333,6,18,0.155
37,456,320,25,28,700,14.98278571,46.52723364,409.825,-75.3,15,685,0.297142857,7,69.5,0.215714286
38,458,179,31,28,868,-7.525835253,87.23562386,686.3,-719.95,14,854,0.291474654,6,29,0.179723502
39,115,151,48,30,1440,8.990052083,81.06516872,696.925,-931.425,37,1403,0.304861111,13,89,0.210416667
39,120,317,38,31,1178,-1.270415959,84.01803982,752.275,-717.15,20,1158,0.326825127,9,66.5,0.210526316
39,478,184,33,39,1287,-5.495901321,118.1244494,931.575,-1217.5,30,1257,0.258741259,9,51.5,0.166278166
40,168,313,49,32,1568,0.304958546,102.6314788,1104.075,-1164.425,32,1536,0.294005102,10,92.5,0.205357143
40,171,151,31,28,868,-8.2890553,104.3583619,813.175,-1170.15,14,854,0.301843318,10,58.5,0.199308756
41,205,147,31,30,930,25.67244624,88.31755452,663.975,-292.35,41,889,0.296774194,5,51.5,0.195698925
41,221,314,56,31,1736,0.060843894,118.3734832,1483.475,-1174.6,39,1697,0.301267281,13,110.5,0.211981567
42,150,153,25,26,650,-2.267884615,81.4943664,552.15,-741.05,8,642,0.343076923,3,39.5,0.16
42,154,316,53,39,2067,-0.36201016,107.4238134,1440.95,-1211.45,34,2033,0.314949202,12,86,0.203193033
42,245,343,30,29,870,17.15387931,58.50440442,583.325,-41.95,21,849,0.325287356,10,45,0.23908046
42,256,145,30,27,810,24.54064815,84.56340733,778.375,-349.3,30,780,0.3,7,43,0.218518519
42,275,314,64,31,1984,1.531388609,90.64004582,1323.1,-662.45,35,1949,0.306451613,14,102.5,0.196068548
43,158,190,25,25,625,-16.96656,71.25415269,722.125,-478.75,2,623,0.3136,4,49,0.1616
43,193,149,43,29,1247,2.573396151,85.65110454,750.8,-1262.725,23,1224,0.325581395,11,58.5,0.180433039
43,202,314,58,44,2552,-0.141114812,154.7990468,1309.1,-1353.95,70,2482,0.300548589,23,168.5,0.215909091
43,264,354,25,25,625,-14.81156,60.34009045,205.975,-711.3,1,624,0.3216,5,59,0.2592
43,313,147,44,31,1364,11.86255499,124.8389239,1230.075,-1161.6,54,1310,0.290322581,10,57.5,0.162756598
43,328,313,1,1,1,121.275,0,121.275,121.275,0,1,0,0,0,0
43,328,313,59,31,1829,4.556957354,92.72147754,1044.4,-621.675,36,1793,0.307271733,12,91.5,0.19300164
44,83,178,33,26,858,-18.83601399,63.81277772,64.775,-650.95,0,858,0.282051282,5,56.5,0.188811189
44,178,204,28,24,672,22.93813244,67.44174989,564.95,-26.725,23,649,0.313988095,6,31.5,0.172619048
44,253,312,65,47,3055,-1.559909984,234.0183492,1793.2,-1852.125,161,2894,0.291653028,17,148.5,0.18690671
44,254,148,25,27,675,-13.5272963,74.45625142,205.45,-1119.875,1,674,0.325925926,7,24,0.180740741
44,361,314,34,31,1054,-14.34682163,69.92571031,263.35,-610.35,2,1052,0.325426945,8,73,0.246679317
44,364,150,49,32,1568,7.092044005,122.9902521,1255.475,-1006.775,55,1513,0.295918367,13,153.5,0.224489796
44,389,319,24,26,624,20.33173077,70.40591448,470.65,-593.075,22,602,0.280448718,7,56,0.190705128
45,71,189,26,26,676,-11.22315089,86.45331346,427,-890.275,4,672,0.334319527,5,47,0.201183432
45,122,173,33,31,1023,-23.5601173,69.84743538,62.675,-592.075,0,1023,0.30400782,6,49,0.19257087
45,129,142,34,29,986,-26.28425456,73.19152003,494.825,-564.075,1,985,0.294117647,8,60.5,0.164300203
45,131,305,27,28,756,-2.706977513,69.29879687,413.625,-529.325,11,746,0.30952381,4,52.5,0.234126984
45,238,202,30,26,780,21.73439103,61.98187387,489.35,-21.85,22,758,0.329487179,7,15.5,0.126923077
45,288,148,27,25,675,10.331,66.34545525,604.325,-464.325,17,658,0.305185185,4,58,0.245925926
45,303,312,69,51,3519,-1.993066212,228.5576554,1618.075,-1811.05,190,3329,0.303495311,15,174,0.199772663
45,379,347,25,26,650,12.42057692,45.3948299,388.075,-42.85,11,639,0.329230769,5,114,0.210769231
45,404,319,30,25,750,-15.92146667,56.64032896,95.55,-464.25,0,750,0.325333333,5,40.5,0.178666667
45,406,152,51,35,1785,5.682563025,83.06615499,903.775,-814.775,41,1744,0.303081232,11,83.5,0.177591036
46,104,184,46,30,1380,8.972137681,178.9550398,1159.85,-1189.125,82,1298,0.29057971,7,111,0.210869565
46,168,170,35,31,1085,-27.08493088,79.5675515,49.025,-722.725,0,1085,0.287557604,10,79,0.175115207
46,176,138,28,27,756,-34.82251984,84.16675722,33.375,-701.025,0,756,0.297619048,7,39,0.173280423
46,177,307,25,25,625,-7.3084,80.91023601,633.525,-679.775,9,616,0.3184,10,27,0.208
46,267,199,25,25,625,8.32308,36.7750085,465.9,-34.925,8,617,0.3344,5,37.5,0.232
46,316,185,27,25,675,-11.64,65.96432991,497.375,-562.6,7,668,0.314074074,4,11.5,0.099259259
46,340,151,25,26,650,7.829192308,55.59906902,491.975,-276.675,11,639,0.290769231,3,37,0.193846154
46,351,317,71,53,3763,-0.801714058,196.7760081,1500.5,-1588.5,169,3594,0.289131012,25,217,0.196651608
46,438,157,26,27,702,15.41595442,87.70389329,674.3,-384.85,28,674,0.303418803,4,12.5,0.122507123
47,148,180,68,37,2516,-2.208008744,172.4115532,1247.675,-1744.925,95,2421,0.305643879,16,125,0.187599364
47,221,166,35,29,1015,-30.42357143,78.84952107,186,-943.25,0,1015,0.299507389,5,29.5,0.101477833
47,225,141,32,26,832,-35.94155649,82.27449629,148.45,-646.625,0,832,0.265625,6,27.5,0.131009615
47,240,296,26,25,650,2.581807692,80.94300722,925.875,-606.5,13,637,0.329230769,4,12.5,0.110769231
47,385,198,27,25,675,-14.47437037,61.27351333,287.4,-532.475,1,674,0.294814815,3,12,0.100740741
47,396,318,63,46,2898,-1.158083161,181.2526787,1248.6,-1233.95,147,2751,0.281918565,20,114,0.171497585
48,202,180,71,36,2556,-2.277278951,177.6739796,1342.325,-1916.275,112,2444,0.273865415,18,120,0.197574335
48,278,150,35,55,1925,-30.10736364,77.41688229,82.025,-802.125,0,1925,0.286233766,12,100.5,0.181818182
48,432,320,59,42,2478,2.298325262,164.5248114,1326.925,-989.275,122,2356,0.278853914,17,181,0.225181598
49,262,166,83,63,5229,-0.144033276,157.2646335,1272.45,-1704.275,205,5024,0.292790208,29,365,0.20692293
49,267,167,3,2,6,-29.29583333,19.70698595,-3.95,-60.175,0,6,0,0,0,0
49,330,153,39,54,2106,-26.1499169,74.71696776,71.525,-630.825,0,2106,0.295346629,17,140.5,0.1671415
49,458,324,51,41,2091,0.65263032,130.9797706,1089.625,-797.15,78,2013,0.292204687,12,112.5,0.183165949
50,307,164,4,2,8,-10.2125,20.7300808,9.475,-61.075,0,8,0.25,0,0,0
50,310,169,87,63,5481,-0.638902573,158.8048228,1349.425,-1427.425,187,5294,0.291187739,28,328.5,0.185732531
50,320,167,1,1,1,-24.625,0,-24.625,-24.625,0,1,0,0,0,0
50,329,163,6,3,18,13.93611111,25.14450904,85.5,-15.55,0,18,0.277777778,1,0,0.166666667
50,375,152,30,44,1320,-26.51852273,64.96472322,98.075,-535.525,0,1320,0.284090909,9,54.5,0.164393939
50,478,328,32,32,1024,-7.768920898,129.4221726,624.725,-1137.975,36,988,0.264648438,5,52,0.178710938
51,94,294,25,24,600,7.668083333,54.47327238,419.2,-326.125,9,591,0.286666667,7,23.5,0.196666667
51,358,126,25,25,625,15.9458,47.19595217,553.45,-91.975,11,614,0.3408,6,50.5,0.1696
51,359,172,81,64,5184,-2.328645833,146.0687026,1124.075,-1212.3,184,5000,0.285493827,29,297.5,0.180555556
51,368,166,12,4,48,-0.544270833,58.19154306,271.9,-113.2,1,47,0.3125,1,2,0.125
51,376,167,1,1,1,-2.375,0,-2.375,-2.375,0,1,0,0,0,0
51,414,148,28,32,896,-14.75689174,48.04137176,239.65,-397.575,1,895,0.283482143,8,33.5,0.1640625
52,125,299,25,25,625,-3.58576,53.65763334,487.25,-316.725,7,618,0.3072,6,14,0.1184
52,406,174,70,64,4480,0.087354911,120.5401736,1153.75,-1055.675,137,4343,0.286160714,24,216,0.185491071
53,444,181,61,57,3477,-0.249050906,98.64718252,862.175,-916.6,82,3395,0.285878631,19,262.5,0.197008916
54,472,198,46,34,1564,3.545204604,112.5930051,1197.575,-2436.6,39,1525,0.29859335,13,99.5,0.221867008
55,35,182,26,27,702,9.14212963,117.189327,2042.7,-1331,15,687,0.337606838,8,41,0.227920228
56,59,175,24,25,600,4.622125,93.88335609,678.625,-570.375,9,591,0.271666667,2,19,0.151666667
56,69,333,28,27,756,-7.301025132,54.23743878,382.375,-411.275,2,754,0.30026455,5,41.5,0.202380952
57,66,139,31,42,1302,-1.803993856,117.1311818,1118.35,-1072.5,35,1267,0.294930876,9,85.5,0.198924731
57,88,167,35,31,1085,-0.13235023,80.60538283,812.05,-609.575,21,1064,0.294930876,7,48,0.177880184
57,100,330,25,28,700,-6.456,75.57537483,595.775,-609.725,8,692,0.304285714,7,49.5,0.211428571
58,93,134,37,43,1591,1.194893149,123.8378059,941.975,-1000.55,55,1536,0.274041483,12,94.5,0.180389692
58,128,169,25,26,650,-3.287692308,92.250382,439.875,-904.9,16,634,0.293846154,6,33,0.186153846
58,141,327,25,27,675,-9.067,91.96072236,1186.875,-504.325,7,668,0.322962963,6,51.5,0.220740741
59,131,128,61,58,3538,4.162450537,132.1867837,1217.825,-1239.85,123,3415,0.295081967,23,257.5,0.21085359
59,176,158,37,40,1480,-10.02665541,88.76813049,926.875,-885.75,21,1459,0.285135135,12,90.5,0.196621622
59,185,323,35,37,1295,-10.40625483,113.850139,986.15,-1051.225,23,1272,0.314285714,11,103.5,0.183011583
60,174,121,76,60,4560,5.296792763,168.8174167,1598.4,-1206.175,191,4369,0.29627193,30,240,0.196929825
60,227,155,44,39,1716,-9.905259324,82.84122126,522.7,-738.625,26,1690,0.286130536,11,84.5,0.183566434
60,230,324,35,35,1225,-17.16146939,126.9728042,1031.2,-1136.85,19,1206,0.286530612,8,37,0.127346939
61,25,212,24,31,744,2.490625,138.9483611,729.75,-2185.45,35,709,0.291666667,6,21,0.205645161
61,90,179,24,25,600,9.250458333,63.78935918,390.6,-681.025,10,590,0.346666667,3,25.5,0.19
61,218,121,86,56,4816,5.941855274,173.7133151,1564.8,-1416.625,241,4575,0.287167774,26,280.5,0.190199336
61,248,159,28,25,700,18.46767857,60.15768738,578.8,-60.35,16,684,0.332857143,2,72.5,0.261428571
61,283,157,41,42,1722,-11.69885308,75.38300054,630.175,-784.45,14,1708,0.295586527,11,86.5,0.217189315
61,284,326,30,33,990,-16.76719697,103.0352815,1274.625,-1060.325,12,978,0.282828283,7,30,0.146464646
61,311,313,25,26,650,22.32153846,64.88724018,588.15,-25.375,19,631,0.316923077,7,31,0.215384615
62,37,208,39,39,1521,0.212902696,142.2012203,1264.8,-1297.425,70,1451,0.287968442,11,64,0.172912558
62,127,172,36,29,1044,4.870354406,95.8129832,1120.825,-846.875,22,1022,0.302681992,8,69,0.249042146
62,169,148,26,25,650,-15.98746154,65.53694974,182.525,-605.725,0,650,0.323076923,8,25,0.209230769
62,261,117,100,74,7400,1.684219595,142.8805795,1582.45,-1271.1,243,7157,0.291351351,40,495.5,0.196351351
62,302,158,26,25,650,17.358,57.89252238,566.3,-35.5,18,632,0.344615385,4,28,0.192307692
62,336,324,28,27,756,-19.41564153,97.64581494,438.6,-753.625,9,747,0.288359788,9,23,0.145502646
63,63,203,49,42,2058,-1.366265792,164.6921179,989.45,-1686.125,99,1959,0.280369291,13,87.5,0.185131195
63,178,167,39,31,1209,5.757775021,87.29482618,950.375,-1069.2,28,1181,0.306038048,16,70,0.209263854
63,310,122,95,64,6080,-2.591862664,161.2530049,1560.4,-1190.325,225,5855,0.275986842,26,374.5,0.180756579
63,406,305,39,38,1482,12.33112348,90.74621668,805.3,-768.55,44,1438,0.311740891,9,130.5,0.211875843
64,100,196,58,41,2378,-2.498086627,190.0387993,1088.425,-1830.625,122,2256,0.293103448,16,104,0.198906644
64,220,165,30,29,870,14.70074713,79.06646397,791.25,-344.15,24,846,0.324137931,4,29,0.155172414
64,354,124,91,66,6006,-1.760564436,153.0519761,1411.425,-1240.5,226,5780,0.273393273,35,368,0.18964369
64,399,165,27,26,702,7.109900285,46.24814324,443.725,-211.05,12,690,0.301994302,4,134,0.257834758
64,435,319,59,56,3304,3.746201574,85.27305622,806.625,-898.6,69,3235,0.27996368,18,134.5,0.157687651
65,64,161,32,29,928,14.609375,80.31335737,652.6,-508.55,25,903,0.302801724,5,36,0.14762931
65,150,182,72,62,4464,-0.663670475,160.4275044,1163.875,-1911.7,159,4305,0.301747312,25,303,0.206765233
65,283,168,45,31,1395,4.182096774,88.85304324,1043.875,-797.45,27,1368,0.298924731,9,55.5,0.193548387
65,392,129,89,70,6230,2.059514446,128.0225624,1160.7,-1043.625,196,6034,0.28459069,34,388.5,0.195987159
65,465,319,46,55,2530,8.7425,114.9382661,815.75,-1064.375,111,2419,0.28972332,12,120.5,0.183399209
66,101,155,55,33,1815,8.995151515,120.7422839,1044.95,-1086.675,67,1748,0.283746556,12,73.5,0.17630854
66,202,180,81,65,5265,1.507188984,187.5251843,1473.2,-1973.05,224,5041,0.290598291,32,335.5,0.205508072
66,335,169,40,32,1280,3.193613281,70.22790848,568.075,-893.675,24,1256,0.31875,9,75,0.1828125
66,401,111,25,25,625,-34.37144,66.83526915,51.625,-463.85,0,625,0.2688,5,22.5,0.1648
66,440,142,53,51,2703,16.73103034,140.3904098,1054.05,-1086.45,149,2554,0.259341472,15,124.5,0.146503885
66,478,328,36,52,1872,7.380649038,124.3650061,1123.4,-1288.375,80,1792,0.258547009,8,66.5,0.165064103
67,136,151,50,36,1800,11.83702778,150.044419,1242.475,-1280.3,83,1717,0.282777778,11,97,0.203333333
67,149,312,55,32,1760,-0.223082386,62.83297155,612.975,-420.45,25,1735,0.303409091,17,73.5,0.176136364
